sample_id,source_document_id,document_family_id,doc_type,source_type,manipulation_type,is_tampered,bounding_box,tampered_pixel_count,tampered_area_percentage,original_path,tampered_path,mask_path,width,height,dataset_split,license
syn_doc_family_invoice_004_inst_00_v1_date_replacement,doc_family_invoice_004_inst_00,doc_family_invoice_004,invoice,synthetic,date_replacement,1,"[555, 137, 711, 168]",4836,0.5757,data\synthetic\originals\doc_family_invoice_004_inst_00.png,data\train\images\syn_doc_family_invoice_004_inst_00_v1_date_replacement.png,data\train\masks\syn_doc_family_invoice_004_inst_00_v1_date_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_004_inst_00_v2_copy_move_intra,doc_family_invoice_004_inst_00,doc_family_invoice_004,invoice,synthetic,copy_move_intra,1,"[275, 652, 449, 706]",9396,1.1186,data\synthetic\originals\doc_family_invoice_004_inst_00.png,data\train\images\syn_doc_family_invoice_004_inst_00_v2_copy_move_intra.png,data\train\masks\syn_doc_family_invoice_004_inst_00_v2_copy_move_intra.png,800,1050,train,MIT
syn_doc_family_invoice_004_inst_00_v3_copy_paste_inter,doc_family_invoice_004_inst_00,doc_family_invoice_004,invoice,synthetic,copy_paste_inter,1,"[454, 538, 724, 591]",14310,1.7036,data\synthetic\originals\doc_family_invoice_004_inst_00.png,data\train\images\syn_doc_family_invoice_004_inst_00_v3_copy_paste_inter.png,data\train\masks\syn_doc_family_invoice_004_inst_00_v3_copy_paste_inter.png,800,1050,train,MIT
syn_doc_family_invoice_004_inst_00_v4_signature_manipulation,doc_family_invoice_004_inst_00,doc_family_invoice_004,invoice,synthetic,signature_manipulation,1,"[467, 803, 687, 859]",12320,1.4667,data\synthetic\originals\doc_family_invoice_004_inst_00.png,data\train\images\syn_doc_family_invoice_004_inst_00_v4_signature_manipulation.png,data\train\masks\syn_doc_family_invoice_004_inst_00_v4_signature_manipulation.png,800,1050,train,MIT
syn_doc_family_invoice_005_inst_00_authentic,doc_family_invoice_005_inst_00,doc_family_invoice_005,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_005_inst_00.png,data\train\images\syn_doc_family_invoice_005_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_005_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_005_inst_00_v1_photo_replacement,doc_family_invoice_005_inst_00,doc_family_invoice_005,invoice,synthetic,photo_replacement,1,"[201, 502, 405, 764]",53448,6.3629,data\synthetic\originals\doc_family_invoice_005_inst_00.png,data\train\images\syn_doc_family_invoice_005_inst_00_v1_photo_replacement.png,data\train\masks\syn_doc_family_invoice_005_inst_00_v1_photo_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_005_inst_00_v2_stamp_seal_manipulation,doc_family_invoice_005_inst_00,doc_family_invoice_005,invoice,synthetic,stamp_seal_manipulation,1,"[427, 683, 600, 856]",4251,0.5061,data\synthetic\originals\doc_family_invoice_005_inst_00.png,data\train\images\syn_doc_family_invoice_005_inst_00_v2_stamp_seal_manipulation.png,data\train\masks\syn_doc_family_invoice_005_inst_00_v2_stamp_seal_manipulation.png,800,1050,train,MIT
syn_doc_family_invoice_005_inst_00_v3_region_removal,doc_family_invoice_005_inst_00,doc_family_invoice_005,invoice,synthetic,region_removal,1,"[485, 892, 663, 983]",16198,1.9283,data\synthetic\originals\doc_family_invoice_005_inst_00.png,data\train\images\syn_doc_family_invoice_005_inst_00_v3_region_removal.png,data\train\masks\syn_doc_family_invoice_005_inst_00_v3_region_removal.png,800,1050,train,MIT
syn_doc_family_invoice_005_inst_00_v4_local_inpainting,doc_family_invoice_005_inst_00,doc_family_invoice_005,invoice,synthetic,local_inpainting,1,"[468, 709, 599, 742]",4323,0.5146,data\synthetic\originals\doc_family_invoice_005_inst_00.png,data\train\images\syn_doc_family_invoice_005_inst_00_v4_local_inpainting.png,data\train\masks\syn_doc_family_invoice_005_inst_00_v4_local_inpainting.png,800,1050,train,MIT
syn_doc_family_invoice_006_inst_00_authentic,doc_family_invoice_006_inst_00,doc_family_invoice_006,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_006_inst_00.png,data\test\images\syn_doc_family_invoice_006_inst_00_authentic.png,data\test\masks\syn_doc_family_invoice_006_inst_00_authentic.png,800,1050,test,MIT
syn_doc_family_invoice_006_inst_00_v1_text_replacement,doc_family_invoice_006_inst_00,doc_family_invoice_006,invoice,synthetic,text_replacement,1,"[220, 278, 389, 315]",6253,0.7444,data\synthetic\originals\doc_family_invoice_006_inst_00.png,data\test\images\syn_doc_family_invoice_006_inst_00_v1_text_replacement.png,data\test\masks\syn_doc_family_invoice_006_inst_00_v1_text_replacement.png,800,1050,test,MIT
syn_doc_family_invoice_006_inst_00_v2_number_amount_replacement,doc_family_invoice_006_inst_00,doc_family_invoice_006,invoice,synthetic,number_amount_replacement,1,"[595, 545, 722, 585]",5080,0.6048,data\synthetic\originals\doc_family_invoice_006_inst_00.png,data\test\images\syn_doc_family_invoice_006_inst_00_v2_number_amount_replacement.png,data\test\masks\syn_doc_family_invoice_006_inst_00_v2_number_amount_replacement.png,800,1050,test,MIT
syn_doc_family_invoice_006_inst_00_v3_date_replacement,doc_family_invoice_006_inst_00,doc_family_invoice_006,invoice,synthetic,date_replacement,1,"[324, 261, 493, 306]",7605,0.9054,data\synthetic\originals\doc_family_invoice_006_inst_00.png,data\test\images\syn_doc_family_invoice_006_inst_00_v3_date_replacement.png,data\test\masks\syn_doc_family_invoice_006_inst_00_v3_date_replacement.png,800,1050,test,MIT
syn_doc_family_invoice_006_inst_00_v4_copy_move_intra,doc_family_invoice_006_inst_00,doc_family_invoice_006,invoice,synthetic,copy_move_intra,1,"[597, 791, 711, 877]",9804,1.1671,data\synthetic\originals\doc_family_invoice_006_inst_00.png,data\test\images\syn_doc_family_invoice_006_inst_00_v4_copy_move_intra.png,data\test\masks\syn_doc_family_invoice_006_inst_00_v4_copy_move_intra.png,800,1050,test,MIT
syn_doc_family_invoice_007_inst_00_authentic,doc_family_invoice_007_inst_00,doc_family_invoice_007,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_007_inst_00.png,data\train\images\syn_doc_family_invoice_007_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_007_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_007_inst_00_v1_copy_paste_inter,doc_family_invoice_007_inst_00,doc_family_invoice_007,invoice,synthetic,copy_paste_inter,1,"[101, 526, 376, 575]",13475,1.6042,data\synthetic\originals\doc_family_invoice_007_inst_00.png,data\train\images\syn_doc_family_invoice_007_inst_00_v1_copy_paste_inter.png,data\train\masks\syn_doc_family_invoice_007_inst_00_v1_copy_paste_inter.png,800,1050,train,MIT
syn_doc_family_invoice_007_inst_00_v2_signature_manipulation,doc_family_invoice_007_inst_00,doc_family_invoice_007,invoice,synthetic,signature_manipulation,1,"[273, 798, 564, 887]",25899,3.0832,data\synthetic\originals\doc_family_invoice_007_inst_00.png,data\train\images\syn_doc_family_invoice_007_inst_00_v2_signature_manipulation.png,data\train\masks\syn_doc_family_invoice_007_inst_00_v2_signature_manipulation.png,800,1050,train,MIT
syn_doc_family_invoice_007_inst_00_v3_photo_replacement,doc_family_invoice_007_inst_00,doc_family_invoice_007,invoice,synthetic,photo_replacement,1,"[139, 291, 330, 640]",66659,7.9356,data\synthetic\originals\doc_family_invoice_007_inst_00.png,data\train\images\syn_doc_family_invoice_007_inst_00_v3_photo_replacement.png,data\train\masks\syn_doc_family_invoice_007_inst_00_v3_photo_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_007_inst_00_v4_stamp_seal_manipulation,doc_family_invoice_007_inst_00,doc_family_invoice_007,invoice,synthetic,stamp_seal_manipulation,1,"[381, 543, 533, 695]",3667,0.4365,data\synthetic\originals\doc_family_invoice_007_inst_00.png,data\train\images\syn_doc_family_invoice_007_inst_00_v4_stamp_seal_manipulation.png,data\train\masks\syn_doc_family_invoice_007_inst_00_v4_stamp_seal_manipulation.png,800,1050,train,MIT
syn_doc_family_invoice_008_inst_00_authentic,doc_family_invoice_008_inst_00,doc_family_invoice_008,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_008_inst_00.png,data\train\images\syn_doc_family_invoice_008_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_008_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_008_inst_00_v1_region_removal,doc_family_invoice_008_inst_00,doc_family_invoice_008,invoice,synthetic,region_removal,1,"[397, 725, 594, 833]",21276,2.5329,data\synthetic\originals\doc_family_invoice_008_inst_00.png,data\train\images\syn_doc_family_invoice_008_inst_00_v1_region_removal.png,data\train\masks\syn_doc_family_invoice_008_inst_00_v1_region_removal.png,800,1050,train,MIT
syn_doc_family_invoice_008_inst_00_v2_local_inpainting,doc_family_invoice_008_inst_00,doc_family_invoice_008,invoice,synthetic,local_inpainting,1,"[480, 608, 661, 659]",9231,1.0989,data\synthetic\originals\doc_family_invoice_008_inst_00.png,data\train\images\syn_doc_family_invoice_008_inst_00_v2_local_inpainting.png,data\train\masks\syn_doc_family_invoice_008_inst_00_v2_local_inpainting.png,800,1050,train,MIT
syn_doc_family_invoice_008_inst_00_v3_text_replacement,doc_family_invoice_008_inst_00,doc_family_invoice_008,invoice,synthetic,text_replacement,1,"[223, 603, 512, 663]",17340,2.0643,data\synthetic\originals\doc_family_invoice_008_inst_00.png,data\train\images\syn_doc_family_invoice_008_inst_00_v3_text_replacement.png,data\train\masks\syn_doc_family_invoice_008_inst_00_v3_text_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_008_inst_00_v4_number_amount_replacement,doc_family_invoice_008_inst_00,doc_family_invoice_008,invoice,synthetic,number_amount_replacement,1,"[610, 818, 740, 873]",7150,0.8512,data\synthetic\originals\doc_family_invoice_008_inst_00.png,data\train\images\syn_doc_family_invoice_008_inst_00_v4_number_amount_replacement.png,data\train\masks\syn_doc_family_invoice_008_inst_00_v4_number_amount_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_009_inst_00_authentic,doc_family_invoice_009_inst_00,doc_family_invoice_009,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_009_inst_00.png,data\train\images\syn_doc_family_invoice_009_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_009_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_009_inst_00_v1_date_replacement,doc_family_invoice_009_inst_00,doc_family_invoice_009,invoice,synthetic,date_replacement,1,"[518, 145, 739, 183]",8398,0.9998,data\synthetic\originals\doc_family_invoice_009_inst_00.png,data\train\images\syn_doc_family_invoice_009_inst_00_v1_date_replacement.png,data\train\masks\syn_doc_family_invoice_009_inst_00_v1_date_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_009_inst_00_v2_copy_move_intra,doc_family_invoice_009_inst_00,doc_family_invoice_009,invoice,synthetic,copy_move_intra,1,"[236, 384, 383, 464]",11760,1.4,data\synthetic\originals\doc_family_invoice_009_inst_00.png,data\train\images\syn_doc_family_invoice_009_inst_00_v2_copy_move_intra.png,data\train\masks\syn_doc_family_invoice_009_inst_00_v2_copy_move_intra.png,800,1050,train,MIT
syn_doc_family_invoice_009_inst_00_v3_copy_paste_inter,doc_family_invoice_009_inst_00,doc_family_invoice_009,invoice,synthetic,copy_paste_inter,1,"[52, 281, 203, 358]",11627,1.3842,data\synthetic\originals\doc_family_invoice_009_inst_00.png,data\train\images\syn_doc_family_invoice_009_inst_00_v3_copy_paste_inter.png,data\train\masks\syn_doc_family_invoice_009_inst_00_v3_copy_paste_inter.png,800,1050,train,MIT
syn_doc_family_invoice_009_inst_00_v4_signature_manipulation,doc_family_invoice_009_inst_00,doc_family_invoice_009,invoice,synthetic,signature_manipulation,1,"[146, 906, 359, 1005]",21087,2.5104,data\synthetic\originals\doc_family_invoice_009_inst_00.png,data\train\images\syn_doc_family_invoice_009_inst_00_v4_signature_manipulation.png,data\train\masks\syn_doc_family_invoice_009_inst_00_v4_signature_manipulation.png,800,1050,train,MIT
syn_doc_family_invoice_010_inst_00_authentic,doc_family_invoice_010_inst_00,doc_family_invoice_010,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_010_inst_00.png,data\train\images\syn_doc_family_invoice_010_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_010_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_010_inst_00_v1_photo_replacement,doc_family_invoice_010_inst_00,doc_family_invoice_010,invoice,synthetic,photo_replacement,1,"[75, 365, 229, 662]",45738,5.445,data\synthetic\originals\doc_family_invoice_010_inst_00.png,data\train\images\syn_doc_family_invoice_010_inst_00_v1_photo_replacement.png,data\train\masks\syn_doc_family_invoice_010_inst_00_v1_photo_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_010_inst_00_v2_stamp_seal_manipulation,doc_family_invoice_010_inst_00,doc_family_invoice_010,invoice,synthetic,stamp_seal_manipulation,1,"[526, 757, 672, 903]",3377,0.402,data\synthetic\originals\doc_family_invoice_010_inst_00.png,data\train\images\syn_doc_family_invoice_010_inst_00_v2_stamp_seal_manipulation.png,data\train\masks\syn_doc_family_invoice_010_inst_00_v2_stamp_seal_manipulation.png,800,1050,train,MIT
syn_doc_family_invoice_010_inst_00_v3_region_removal,doc_family_invoice_010_inst_00,doc_family_invoice_010,invoice,synthetic,region_removal,1,"[205, 625, 386, 699]",13394,1.5945,data\synthetic\originals\doc_family_invoice_010_inst_00.png,data\train\images\syn_doc_family_invoice_010_inst_00_v3_region_removal.png,data\train\masks\syn_doc_family_invoice_010_inst_00_v3_region_removal.png,800,1050,train,MIT
syn_doc_family_invoice_010_inst_00_v4_local_inpainting,doc_family_invoice_010_inst_00,doc_family_invoice_010,invoice,synthetic,local_inpainting,1,"[339, 794, 558, 853]",12921,1.5382,data\synthetic\originals\doc_family_invoice_010_inst_00.png,data\train\images\syn_doc_family_invoice_010_inst_00_v4_local_inpainting.png,data\train\masks\syn_doc_family_invoice_010_inst_00_v4_local_inpainting.png,800,1050,train,MIT
syn_doc_family_invoice_011_inst_00_authentic,doc_family_invoice_011_inst_00,doc_family_invoice_011,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_011_inst_00.png,data\train\images\syn_doc_family_invoice_011_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_011_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_011_inst_00_v1_text_replacement,doc_family_invoice_011_inst_00,doc_family_invoice_011,invoice,synthetic,text_replacement,1,"[113, 496, 412, 538]",12558,1.495,data\synthetic\originals\doc_family_invoice_011_inst_00.png,data\train\images\syn_doc_family_invoice_011_inst_00_v1_text_replacement.png,data\train\masks\syn_doc_family_invoice_011_inst_00_v1_text_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_011_inst_00_v2_number_amount_replacement,doc_family_invoice_011_inst_00,doc_family_invoice_011,invoice,synthetic,number_amount_replacement,1,"[548, 591, 728, 638]",8460,1.0071,data\synthetic\originals\doc_family_invoice_011_inst_00.png,data\train\images\syn_doc_family_invoice_011_inst_00_v2_number_amount_replacement.png,data\train\masks\syn_doc_family_invoice_011_inst_00_v2_number_amount_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_011_inst_00_v3_date_replacement,doc_family_invoice_011_inst_00,doc_family_invoice_011,invoice,synthetic,date_replacement,1,"[522, 231, 697, 270]",6825,0.8125,data\synthetic\originals\doc_family_invoice_011_inst_00.png,data\train\images\syn_doc_family_invoice_011_inst_00_v3_date_replacement.png,data\train\masks\syn_doc_family_invoice_011_inst_00_v3_date_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_011_inst_00_v4_copy_move_intra,doc_family_invoice_011_inst_00,doc_family_invoice_011,invoice,synthetic,copy_move_intra,1,"[62, 728, 207, 791]",9135,1.0875,data\synthetic\originals\doc_family_invoice_011_inst_00.png,data\train\images\syn_doc_family_invoice_011_inst_00_v4_copy_move_intra.png,data\train\masks\syn_doc_family_invoice_011_inst_00_v4_copy_move_intra.png,800,1050,train,MIT
syn_doc_family_invoice_012_inst_00_authentic,doc_family_invoice_012_inst_00,doc_family_invoice_012,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_012_inst_00.png,data\val\images\syn_doc_family_invoice_012_inst_00_authentic.png,data\val\masks\syn_doc_family_invoice_012_inst_00_authentic.png,800,1050,val,MIT
syn_doc_family_invoice_012_inst_00_v1_copy_paste_inter,doc_family_invoice_012_inst_00,doc_family_invoice_012,invoice,synthetic,copy_paste_inter,1,"[346, 393, 593, 459]",16302,1.9407,data\synthetic\originals\doc_family_invoice_012_inst_00.png,data\val\images\syn_doc_family_invoice_012_inst_00_v1_copy_paste_inter.png,data\val\masks\syn_doc_family_invoice_012_inst_00_v1_copy_paste_inter.png,800,1050,val,MIT
syn_doc_family_invoice_012_inst_00_v2_signature_manipulation,doc_family_invoice_012_inst_00,doc_family_invoice_012,invoice,synthetic,signature_manipulation,1,"[282, 925, 495, 1006]",17253,2.0539,data\synthetic\originals\doc_family_invoice_012_inst_00.png,data\val\images\syn_doc_family_invoice_012_inst_00_v2_signature_manipulation.png,data\val\masks\syn_doc_family_invoice_012_inst_00_v2_signature_manipulation.png,800,1050,val,MIT
syn_doc_family_invoice_012_inst_00_v3_photo_replacement,doc_family_invoice_012_inst_00,doc_family_invoice_012,invoice,synthetic,photo_replacement,1,"[272, 465, 490, 745]",61040,7.2667,data\synthetic\originals\doc_family_invoice_012_inst_00.png,data\val\images\syn_doc_family_invoice_012_inst_00_v3_photo_replacement.png,data\val\masks\syn_doc_family_invoice_012_inst_00_v3_photo_replacement.png,800,1050,val,MIT
syn_doc_family_invoice_012_inst_00_v4_stamp_seal_manipulation,doc_family_invoice_012_inst_00,doc_family_invoice_012,invoice,synthetic,stamp_seal_manipulation,1,"[366, 703, 504, 841]",3056,0.3638,data\synthetic\originals\doc_family_invoice_012_inst_00.png,data\val\images\syn_doc_family_invoice_012_inst_00_v4_stamp_seal_manipulation.png,data\val\masks\syn_doc_family_invoice_012_inst_00_v4_stamp_seal_manipulation.png,800,1050,val,MIT
syn_doc_family_invoice_013_inst_00_authentic,doc_family_invoice_013_inst_00,doc_family_invoice_013,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_013_inst_00.png,data\train\images\syn_doc_family_invoice_013_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_013_inst_00_authentic.png,800,1050,train,MIT
syn_doc_family_invoice_013_inst_00_v1_region_removal,doc_family_invoice_013_inst_00,doc_family_invoice_013,invoice,synthetic,region_removal,1,"[273, 620, 438, 697]",12705,1.5125,data\synthetic\originals\doc_family_invoice_013_inst_00.png,data\train\images\syn_doc_family_invoice_013_inst_00_v1_region_removal.png,data\train\masks\syn_doc_family_invoice_013_inst_00_v1_region_removal.png,800,1050,train,MIT
syn_doc_family_invoice_013_inst_00_v2_local_inpainting,doc_family_invoice_013_inst_00,doc_family_invoice_013,invoice,synthetic,local_inpainting,1,"[454, 342, 655, 405]",12663,1.5075,data\synthetic\originals\doc_family_invoice_013_inst_00.png,data\train\images\syn_doc_family_invoice_013_inst_00_v2_local_inpainting.png,data\train\masks\syn_doc_family_invoice_013_inst_00_v2_local_inpainting.png,800,1050,train,MIT
syn_doc_family_invoice_013_inst_00_v3_text_replacement,doc_family_invoice_013_inst_00,doc_family_invoice_013,invoice,synthetic,text_replacement,1,"[334, 697, 616, 729]",9024,1.0743,data\synthetic\originals\doc_family_invoice_013_inst_00.png,data\train\images\syn_doc_family_invoice_013_inst_00_v3_text_replacement.png,data\train\masks\syn_doc_family_invoice_013_inst_00_v3_text_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_013_inst_00_v4_number_amount_replacement,doc_family_invoice_013_inst_00,doc_family_invoice_013,invoice,synthetic,number_amount_replacement,1,"[577, 562, 720, 612]",7150,0.8512,data\synthetic\originals\doc_family_invoice_013_inst_00.png,data\train\images\syn_doc_family_invoice_013_inst_00_v4_number_amount_replacement.png,data\train\masks\syn_doc_family_invoice_013_inst_00_v4_number_amount_replacement.png,800,1050,train,MIT
syn_doc_family_invoice_014_inst_00_authentic,doc_family_invoice_014_inst_00,doc_family_invoice_014,invoice,synthetic,none,0,"[0, 0, 0, 0]",0,0.0,data\synthetic\originals\doc_family_invoice_014_inst_00.png,data\train\images\syn_doc_family_invoice_014_inst_00_authentic.png,data\train\masks\syn_doc_family_invoice_014_inst_00_authentic.png,800,1050,train,MIT
